subject_id	Classification	Group	mean_abu_nor
Pt08	Poxviridae	Post-Tx-offIS-12M	0
Pt08	Poxviridae	Post-Tx-offIS-24M	0
Pt06	Alphapolyomavirus	Pre-Tx	0.0003373485
Pt06	Alphapolyomavirus	Post-Tx-offIS-12M	0.0016085544
Pt06	Alphapolyomavirus	Post-Tx-offIS-24M	0.05274033
Pt06	Anelloviridae	Pre-Tx	0
Pt06	Anelloviridae	Post-Tx-offIS-12M	0
Pt06	Anelloviridae	Post-Tx-offIS-24M	0
Pt06	Betapapillomavirus	Pre-Tx	5.235601653734
Pt06	Betapapillomavirus	Post-Tx-offIS-12M	1.539211317
Pt06	Betapapillomavirus	Post-Tx-offIS-24M	0.0899125009
Pt06	Deltapolyomavirus	Pre-Tx	0.046098630558
Pt06	Deltapolyomavirus	Post-Tx-offIS-12M	0.0168231763
Pt06	Deltapolyomavirus	Post-Tx-offIS-24M	0.001059485
Pt06	Gammapapillomavirus	Pre-Tx	2.105684877765
Pt06	Gammapapillomavirus	Post-Tx-offIS-12M	0.5922231964
Pt06	Gammapapillomavirus	Post-Tx-offIS-24M	0.8318897774
Pt06	Herpesviridae	Pre-Tx	0
Pt06	Herpesviridae	Post-Tx-offIS-12M	0.00032029675
Pt06	Herpesviridae	Post-Tx-offIS-24M	1.3371e-05
Pt06	Molluscipoxvirus	Pre-Tx	0.2965048584
Pt06	Molluscipoxvirus	Post-Tx-offIS-12M	0.0465714837
